24218;7170;261;7140;44239;325;5535;1554;622;1256;2185;717;198;4200;24385;14713;81778;6080;10829;10403;4292;639;460;543;811;18854;12659;7083;3130;3170;8544;2831;14848;1422;1876;2067;1903;29630;5485;8507;34308;1470;1593;6331;4272;2822;24507;1379;5919;603;658;5322;1709;10960;74;3685;5739;17934;9345;5466;10327;237;1448;407;1520;5715;521;2516;3544;61087;1104;505;11789;104718;12909;7714;1011;1056;13211;393
1;11;0;5;18;0;55;1;0;0;0;0;0;7;50;16;6;16;47;109;180;0;47;0;0;8;16;268;1;0;7;1;1;0;6;7;2;0;30;12;0;0;0;0;16;1;153;0;177;15;0;29;271;70;342;216;0;4;8;1;112;0;328;0;3;21;2;1;13;14;0;0;25;4;92;138;0;0;30;0
1801;2;0;82;5261;1;1485;193;0;5;365;0;13;5;2812;4113;5147;1277;733;2373;1746;2;17;6;302;2580;3162;8215;482;26;1711;10;997;1573;159;16;130;1512;2704;21;2310;5;7;19;1315;20;5631;2;1450;30;0;530;422;2779;21;151;25;2039;1451;269;2062;0;186;29;5;987;30;246;133;5346;0;12;2393;4192;3901;1733;5;1;2211;0
2148;0;0;373;4069;0;837;0;0;0;201;0;0;0;1602;4194;4227;820;618;1167;511;0;0;3;1;2232;2440;3208;54;5;1559;0;1008;1800;46;0;13;1202;1853;5;2416;2;0;11;11;10;3311;0;613;2;0;146;307;1273;3;66;7;1614;516;5;1096;0;32;0;1;516;14;58;94;2798;0;0;2220;3575;2476;825;0;0;2124;0
2272;0;0;235;2161;0;616;0;0;20;211;0;2;1;1120;2768;3139;715;389;953;349;0;2;2;10;1592;2084;1906;135;7;1223;2;1140;216;25;5;26;1623;1151;2;1718;0;0;11;15;7;2613;0;459;7;0;101;299;1088;4;42;20;1919;589;0;801;0;80;10;0;539;17;94;251;1716;0;3;2089;3406;1322;635;0;0;1800;0
1654;6;0;168;2407;0;574;17;0;2;152;0;16;1318;1409;1917;3732;325;360;942;320;0;0;0;0;803;1436;987;211;10;1187;0;655;0;44;5;34;948;993;191;1425;0;0;13;34;2;995;0;263;6;0;143;72;667;5;13;13;989;274;35;208;0;27;18;0;194;0;33;141;3014;0;208;1639;3621;1923;532;0;1;1679;0
472;160;0;121;956;0;382;86;0;1;86;0;6;13;609;601;834;131;250;682;984;2;68;0;16;253;241;2741;38;4;882;9;505;0;53;14;15;301;903;162;341;0;0;1;30;4;4006;0;236;53;0;232;166;399;7;425;5;267;138;39;837;0;118;13;7;247;16;50;65;1395;1;10;717;323;1723;672;0;1;421;0
221;134;0;9;737;0;240;18;0;1;110;0;0;12;819;993;1133;113;89;575;907;0;7;0;1;368;415;2307;26;0;710;16;153;0;139;1;5;169;765;259;365;0;0;0;45;6;1803;0;50;12;0;45;195;288;0;18;3;168;49;25;430;0;1;0;6;57;28;19;53;1667;0;0;615;1016;1335;223;0;2;666;0
287;19;0;0;790;0;299;17;0;1;110;0;0;109;970;1138;1041;132;43;281;794;0;0;0;0;440;464;1620;10;2;602;3;282;1;176;0;1;198;493;277;304;0;0;0;24;1;1086;0;117;4;0;66;124;359;1;16;5;256;61;21;323;0;14;2;3;91;12;31;26;1180;0;24;475;1029;1017;285;0;0;481;0
907;0;0;22;2602;0;882;37;0;0;196;0;0;933;2278;2530;2116;249;373;1067;1235;1;1;0;4;1123;1462;4538;45;1;1466;2;779;0;175;0;11;711;1079;774;1297;0;1;3;98;4;2662;1;267;4;0;47;306;980;0;103;10;906;238;43;439;0;25;0;7;416;63;188;83;2369;0;11;1428;2441;2496;883;0;2;1942;0
