93548.325867;25449.922709;117297.091267;45756.343856;29363.348100;96126.447375;49515.430251;83939.374745;102663.401944;53477.898995;54822.045018;10430.369873
4.030673;225.136960;14.629779;1122.571364;286.919010;55.774364;31.722380;819.541073;97.045730;356.489274;0.139393;0.000000
4061.560106;8678.875430;9637.594340;4413.035127;11958.846598;8344.457571;7694.469926;10700.311843;16343.561576;7550.262926;3567.820673;36.203885
4071.749525;4960.282470;5800.304020;2452.369293;6264.970380;6408.704946;5107.380149;6509.490930;13897.599641;2988.709091;3864.604314;11.835242
3641.644366;3497.864656;4216.559104;1074.737371;3753.828348;6676.537811;4245.804398;5212.054311;9756.053340;2656.735814;3007.495448;17.685032
3577.849262;1283.325382;5444.008392;892.137114;3339.642277;5136.112799;4933.979392;3833.672923;8610.399562;2064.269000;1881.342379;13.261516
242.818989;4769.867442;1822.697850;1229.368520;4535.018546;2058.257956;2109.170940;3072.064790;2602.031149;2699.490543;403.673027;1.540247
668.385334;2615.722356;2489.152905;826.904720;3509.108072;1481.772678;1865.866548;1657.520635;3628.946724;1390.078438;508.467719;0.073870
932.924613;1594.795903;1785.346435;643.584337;2615.622970;1535.187820;1772.394132;1680.892200;3825.252563;1208.144464;443.336273;0.518290
2364.849389;4387.268025;4152.252387;1253.134275;6122.316098;4209.449267;5623.055396;4747.274765;9416.545822;3244.052675;1835.911738;5.890164
