10617;2909;2532;38530;430;9861;519;4549;32372;14630;4077;47357;578;301;774;8005;9976;1443;97033;4728;1099;640;246;716;1081;2992;4046;842;1526;182;110;25294;156;13784;7060;7706;8354;5192;593;856;3813;1560;1053;356;743;535;174;2112;392;1001;173;6331;5786;2733;2823;251;816;6246;23277;1986;24976;459;948;11986;3611;549;264;2292;584;991;8521;1983;361;4091;898;7004;148;7022;9610;1382;2652;3463;136;3103;246;4250;12022;3933;3387;20556;4596;6118;7613;2301;4511;551;528;116;497;9877;1068;2254;1263;20986;42;1199;623;1114;332;1444;3526;490;8163;62425;8721;11518;4472;6226;4476;8055
3;0;0;15;0;38;0;2;0;2;17;11;0;0;0;17;14;1;4;0;0;0;0;0;0;1;112;0;0;0;0;0;0;7;72;95;7;9;2;3;22;0;0;0;0;0;0;3;1;0;0;3;96;0;0;8;3;0;150;1;3;377;10;8;0;0;0;159;0;0;16;27;0;9;7;0;0;275;9;0;0;22;0;0;46;9;61;8;113;0;97;0;0;0;12;0;351;0;0;90;0;3;0;33;332;1;3;0;0;2;114;6;7;5;4;1;11;16;0;48
3205;0;426;4275;0;3275;6;61;1933;1082;615;4198;0;0;2;1594;2547;102;3936;3;0;6;0;1;3;375;1411;166;22;0;8;1750;0;2581;410;1912;15;1035;0;205;384;1;331;4;0;5;0;62;12;0;29;462;1411;33;180;25;21;70;5500;1575;1307;217;291;1938;25;34;311;101;5;4;974;153;0;1290;5;56;0;8147;1914;46;19;1011;0;1;23;3;1833;620;685;1196;969;367;776;44;957;0;122;0;0;1869;15;333;1;1650;11;84;151;2;22;201;1821;1;1659;4127;1670;522;2590;1316;124;2109
3444;0;190;2864;0;2367;3;168;1677;1515;939;2259;0;0;0;1701;1870;25;3120;0;0;0;0;1;0;51;509;16;8;0;0;2018;0;2098;281;872;3;919;0;18;129;0;194;0;0;0;0;17;4;0;0;287;689;5;15;0;5;30;3275;1800;844;218;141;1231;7;0;0;34;0;0;868;155;0;4;7;517;0;3100;648;1;9;547;0;0;0;0;947;324;267;1058;351;517;738;4;645;0;22;0;0;1061;3;247;0;1102;3;31;35;0;13;2;469;0;1454;3431;1599;550;1777;911;3;1057
2255;0;209;1756;0;1296;2;114;1271;1581;570;1219;0;0;0;1628;1615;11;2952;1;1;0;0;1;0;111;271;13;0;0;2;1563;0;1523;127;591;0;646;0;63;94;0;166;2;0;2;1;8;6;0;6;340;581;6;12;7;1;41;2584;217;943;60;94;1234;9;0;3;16;2;0;622;231;0;9;17;310;0;1823;623;4;6;392;1;0;0;0;700;463;205;1513;178;137;819;3;495;0;76;0;0;737;1;330;0;703;4;46;187;16;11;0;380;1;1305;2561;1234;808;1125;867;0;987
1591;2;175;1759;0;1673;0;115;1245;1168;417;2605;0;0;0;1139;1151;31;3134;6;0;222;0;0;0;191;248;15;0;0;10;1165;0;802;75;600;137;663;0;40;114;0;140;145;0;0;17;18;0;0;4;177;512;8;37;3;5;21;983;4;676;41;94;716;8;2;0;6;0;0;595;145;0;33;4;152;0;944;389;10;2;337;8;1201;0;3;972;184;87;839;824;290;444;1;253;0;20;0;0;180;0;85;0;871;4;13;22;3;8;22;114;6;1155;3294;1161;517;680;418;8;602
541;0;79;801;0;1531;0;137;284;296;92;1192;0;0;0;364;181;36;314;0;0;6;0;7;0;21;237;11;6;0;0;257;0;218;226;584;159;462;1;54;164;0;83;7;0;1;10;26;12;0;3;216;604;4;31;5;10;9;3958;9;320;178;109;314;0;56;10;375;3;0;225;36;0;23;19;34;0;2679;139;0;4;198;7;10;76;163;563;102;127;183;440;69;258;22;99;0;84;0;0;766;3;104;0;335;4;18;25;2;24;34;904;0;775;605;340;240;844;96;19;234
716;0;128;688;0;1069;0;13;373;126;125;1461;0;0;0;370;320;123;924;0;2;7;0;2;0;22;77;0;7;0;0;256;0;327;32;293;254;437;0;10;31;0;95;0;0;0;0;11;22;0;0;46;190;0;51;1;2;3;1784;0;195;249;18;212;3;0;0;6;0;0;154;34;0;38;5;7;0;2273;73;1;4;128;0;6;8;134;713;42;23;114;486;32;78;22;99;0;3;0;0;362;0;21;0;402;0;9;32;1;6;25;762;1;602;949;775;96;723;86;10;222
770;11;69;636;0;713;0;3;249;178;205;1016;0;0;0;265;367;161;895;0;0;23;0;0;0;12;152;37;2;0;0;203;0;446;18;213;264;377;0;9;34;0;76;18;0;0;1;10;10;0;2;120;305;2;45;1;3;4;1069;1;173;142;40;286;1;2;0;8;0;0;73;21;0;16;4;5;0;1566;81;0;1;163;0;2;0;4;400;44;40;188;620;32;117;4;118;0;10;0;0;270;0;17;0;700;0;12;22;1;1;18;621;103;471;1012;712;169;421;65;10;257
1545;0;183;2095;0;1857;0;14;1008;534;972;1983;0;0;0;813;1153;156;2184;0;0;54;0;2;0;36;330;55;4;0;0;869;0;1157;83;839;752;894;0;25;37;0;210;7;0;2;0;8;46;0;0;331;740;2;135;0;6;13;2642;0;446;290;163;666;1;1;0;57;2;0;344;428;0;73;7;14;0;4464;352;0;3;562;0;28;0;0;1177;107;91;689;1123;181;427;4;188;0;23;0;0;383;1;205;0;1668;0;78;12;0;2;36;918;876;1258;1815;1823;531;984;284;10;791
