1854;3634;60034;24110;27147;2124;1720;167206;589;814;4845;82530;7731;23736;2669;33359;4695;13132;423;9871;3527;1387;10494;27574;1540;1109;3421;8779;5144;33972;8656;21001;9588;1159;368;11992;1193;2590;4382;132291
5;150;2;83;269;62;0;8;0;0;0;46;229;34;308;69;47;375;0;0;1;0;92;86;2;0;2;116;71;50;272;263;13;0;0;270;0;3;70;16
43;1668;3930;4761;9438;21;8;8060;16;0;26;10428;1582;2877;567;6236;1383;2708;32;44;49;0;1299;5020;1;30;333;46;10;5627;1369;2885;3693;7;0;7363;0;434;1228;9765
14;409;3990;3633;4850;0;0;6933;0;0;16;8503;1801;1698;446;4450;26;1677;0;17;3;0;575;2592;0;0;1;10;2;5013;517;2033;3057;0;0;2783;0;15;401;6873
0;300;4679;3254;3840;8;0;5760;4;0;4;5161;217;1735;424;3592;41;1284;9;23;3;0;360;2875;0;2;0;27;4;3789;348;1442;1880;0;0;1602;0;42;229;4819
0;113;3199;2738;1409;7;0;6323;164;0;1;4367;10;936;140;2589;47;1173;23;24;0;0;222;1592;0;0;37;199;1373;3276;207;1139;1568;0;0;1438;0;32;816;5848
9;929;908;1714;5487;5;1;778;16;0;2;1684;173;805;185;815;57;1369;12;5;18;0;500;636;1;4;94;167;13;1108;358;880;1664;0;0;2530;2;41;331;2245
7;808;484;1245;2776;0;0;1875;0;0;4;1589;135;248;206;918;58;588;0;2;19;0;192;522;0;0;37;261;11;1842;200;382;1321;1;0;2176;0;7;316;2412
3;626;640;1042;1694;1;0;1793;16;0;1;1874;20;412;136;908;39;669;2;2;3;0;189;527;0;0;26;279;117;1725;294;247;722;0;0;1778;0;2;419;1832
7;901;2167;2949;4491;0;2;4058;7;0;3;5192;0;1318;486;2897;122;1814;0;5;2;0;213;1524;0;2;51;795;930;4668;363;1033;1797;0;0;4445;0;18;805;4297
