13238;1435;1774;7148;1150;5288;5789;156;21738;1814;3700;723;8390;34551;154;22382;1077;4020;9426;8991;10108;648;6742;32078;3516;242;4007;1290;6166;7166;179;2503;839;3742;13958;283;2908;58;6410;1920;2710;926;4157;373;11878;1874;4626;476;8473;372;8925;7692;7390;452;4103;2912;20755;1257;5142;4672;25145;2334;888;2367;3678;10209;62210;3018;9046;12760;549;1960;362;5030;208;1978;828;559;1355;1573;996;2798;1102;3008;182;249;169;95568;235;358;7305;965;10702;3749;612;10045;47466;1503;6270;876;15076;762;24520;6138;674;694;11599;1421;3968;451
13;0;2;0;0;12;8;0;30;73;5;1;7;11;0;32;0;24;21;9;18;1;5;0;3;2;108;0;92;10;0;1;0;17;7;0;0;334;3;44;138;3;16;0;1;27;152;55;8;0;42;0;83;0;6;83;0;0;59;0;0;4;415;3;0;37;5;1;5;12;0;5;0;269;0;0;1;0;0;0;0;0;0;10;0;4;0;4;0;347;133;10;9;73;0;9;12;0;0;3;2;0;2;0;0;0;67;0;5;1
2158;1573;300;21;0;964;1070;0;2353;810;2;44;16;3951;8;1850;3;1133;612;1748;2266;2;61;1906;63;86;1327;3;1571;4;0;257;0;537;1551;0;43;16;462;1097;1606;26;237;0;559;155;176;24;2591;311;2093;762;1780;0;1291;488;1186;0;1430;138;1728;262;144;326;23;1271;4131;399;1560;3105;5;6;5;7882;25;344;81;0;2;10;4;15;1;2024;0;23;0;3854;0;139;4334;284;3361;611;0;2072;4268;194;68;226;1138;13;1258;364;6;0;2066;51;563;20
1386;1800;140;1;0;773;1058;0;1441;126;0;5;3;3258;0;1166;0;630;550;1662;2102;8;421;1653;108;17;463;2;758;0;0;3;0;852;1206;0;6;3;285;397;824;7;62;0;586;137;86;0;2131;0;1036;722;825;0;5;185;1032;1;884;4;2025;87;34;261;7;657;3429;55;1386;2315;2;0;0;4169;0;183;0;0;0;0;0;10;0;1299;0;0;0;2907;0;189;1392;149;3541;271;0;717;2205;35;29;21;1553;0;804;478;0;0;1022;1;287;8
1394;216;53;5;0;678;745;0;1049;93;1;9;0;1960;2;693;15;451;261;1636;1903;0;266;1251;71;150;243;1;656;0;1;1;0;556;750;0;2;4;330;332;641;4;44;0;860;211;20;1;1288;3;917;822;571;0;10;172;1487;0;733;0;1545;139;77;345;10;403;2565;109;1192;1772;2;3;2;2864;6;206;0;0;1;0;0;3;0;825;0;6;0;2922;0;42;617;92;2364;125;0;689;1184;46;42;78;1618;6;915;144;0;0;781;6;441;8
806;1;61;14;0;279;739;0;487;31;1206;9;136;2035;14;854;2;398;253;1293;1356;0;157;1223;81;11;215;0;613;5;16;39;0;423;327;0;1;5;178;100;206;5;91;0;543;137;9;0;1422;0;549;446;565;0;35;69;827;0;435;7;1162;51;21;97;8;90;3304;198;1258;1116;0;3;146;1014;8;144;6;0;0;0;0;2;0;438;0;3;0;3126;0;26;909;89;1646;787;1;447;2593;17;21;44;1206;0;645;262;224;0;999;11;174;0
326;0;61;3;0;65;573;0;1757;534;5;7;159;859;3;350;2;258;207;757;283;9;42;277;132;20;224;1;601;163;10;34;0;68;237;0;19;5;212;515;786;10;85;0;242;37;369;84;1292;10;276;258;562;0;24;101;195;5;152;21;256;37;191;109;0;451;604;25;356;193;0;10;8;3829;6;78;68;0;1;0;0;3;0;601;0;3;0;312;0;115;1253;109;505;295;0;159;1205;33;10;61;307;4;289;60;10;0;593;0;97;13
264;0;133;0;0;66;498;0;797;358;4;54;256;530;0;470;0;162;84;606;390;2;8;368;14;16;73;0;239;135;0;37;0;105;370;0;15;0;46;523;408;2;11;0;100;34;13;9;996;0;235;77;257;0;38;23;116;3;74;8;255;60;3;22;3;263;957;25;642;360;0;0;0;2257;0;106;3;0;2;0;0;4;0;507;0;0;0;904;0;201;1130;18;840;333;2;77;1506;10;3;10;127;0;179;33;9;0;712;1;28;23
295;2;140;2;0;47;405;0;417;295;100;91;266;485;0;773;1;204;30;456;325;0;1;247;4;8;145;0;352;20;0;36;0;177;343;0;7;0;120;417;373;3;15;0;176;23;13;0;574;0;286;119;208;0;14;33;190;2;108;9;203;39;10;17;1;139;1020;13;491;470;0;0;19;1436;2;106;3;0;0;0;0;1;0;316;0;1;0;893;0;91;960;39;976;438;0;86;1049;24;4;13;174;0;157;33;23;0;394;0;30;10
758;0;182;1;0;158;1006;0;948;339;893;44;751;1672;0;1841;0;637;144;1205;1070;2;10;988;26;3;311;0;846;0;0;68;0;1000;971;0;1;0;334;975;431;6;17;0;529;377;94;2;1568;0;793;422;836;0;81;72;690;2;329;17;873;79;23;216;1;231;1821;37;1387;1262;0;0;7;4019;0;193;8;0;2;0;0;3;0;703;0;0;0;2183;0;216;2482;158;2115;774;0;374;2050;112;13;27;557;5;418;195;61;0;1150;0;102;55
