36247;24053;213182;6279;606;12368;2560;148200;87175;2088;22782;32288;11978;71132;36492;17213;1221;3523;29704;3299
505;265;52;14;0;190;0;26;119;0;312;62;293;2;116;552;1;3;502;0
5844;8208;12297;217;41;56;34;12567;14027;12;4537;4171;1612;4277;6831;3207;0;434;14615;0
4085;4624;9369;31;0;8;1;9603;10859;0;3035;2286;1802;4019;5066;762;0;10;6777;1
3664;2762;7540;28;12;24;1;6613;7620;0;2370;2295;226;4898;4494;536;0;35;4638;1
2643;3117;8239;37;37;1493;2;6964;5771;0;2190;1308;226;3103;3483;349;0;21;2027;0
1076;3490;3063;98;19;180;40;2675;2127;2;2251;994;189;902;1731;578;3;41;6086;1
927;2888;3125;57;0;250;0;2560;2970;0;1145;366;135;472;1398;329;0;5;4015;0
636;2232;2570;25;2;320;1;2021;3365;0;1149;557;105;676;1080;386;0;2;2911;0
2602;4493;5783;15;0;1573;0;5497;8540;1;3121;1740;111;2200;3530;674;0;17;7465;0
