77977;41711;3897;64994;371270;2677;15903;2894;21607;159460
144;690;0;649;393;3;336;1;615;183
8596;12890;287;11520;32596;33;1654;4;2236;23171
5455;6562;1;8012;22204;2;1803;0;293;18006
5944;3978;9;6587;17040;1;240;0;301;13657
3640;3915;0;5397;15638;2;1540;0;394;10484
1765;5269;10;4285;9800;41;212;2;575;3587
852;4268;0;2464;8165;0;138;2;500;4253
1193;3374;0;2149;6123;1;152;0;545;4501
3609;6965;5;6547;15363;0;907;2;1221;12743
