134777.463025;160890.855590;229450.138007;108195.214438;129076.328940
6.010724;707.592444;259.919458;1672.714825;367.762549
6834.482733;26521.616041;27855.686665;9894.424753;21880.789807
5871.650706;14879.534929;20598.248871;4739.524977;16249.040517
4948.140631;12110.469917;15187.073433;3083.115690;12428.200329
5632.374997;9711.943406;11691.994729;3789.124200;10184.562667
636.837342;8130.301942;8638.302599;3546.197583;4594.360533
1464.005285;5700.131672;6758.353239;2014.611209;4704.898596
1476.744961;5029.491042;5409.413654;1822.475001;4299.875342
3430.436738;12392.517278;14250.187210;5040.677339;12248.181436
