num trees;pca;max depth;f1 macro avg
00050;no_pca;003;0.59;
00050;pca;003;0.50;
00050;no_pca;005;0.84;
00050;pca;005;0.50;
00050;no_pca;007;0.91;
00050;pca;007;0.60;
00050;no_pca;009;0.95;
00050;pca;009;0.74;
00050;no_pca;011;0.98;
00050;pca;011;0.87;
00050;no_pca;013;1.00;
00050;pca;013;0.97;
00100;no_pca;003;0.61;
00100;pca;003;0.50;
00100;no_pca;005;0.84;
00100;pca;005;0.50;
00100;no_pca;007;0.91;
00100;pca;007;0.59;
00100;no_pca;009;0.95;
00100;pca;009;0.74;
00100;no_pca;011;0.98;
00100;pca;011;0.89;
00100;no_pca;013;1.00;
00100;pca;013;0.96;
00200;no_pca;003;0.58;
00200;pca;003;0.50;
00200;no_pca;005;0.84;
00200;pca;005;0.50;
00200;no_pca;007;0.91;
00200;pca;007;0.57;
00200;no_pca;009;0.95;
00200;pca;009;0.77;
00200;no_pca;011;0.98;
00200;pca;011;0.89;
00200;no_pca;013;1.00;
00200;pca;013;0.96;
00300;no_pca;003;0.59;
00300;pca;003;0.50;
00300;no_pca;005;0.84;
00300;pca;005;0.50;
00300;no_pca;007;0.91;
00300;pca;007;0.57;
00300;no_pca;009;0.94;
00300;pca;009;0.75;
00300;no_pca;011;0.98;
00300;pca;011;0.90;
00300;no_pca;013;1.00;
00300;pca;013;0.97;
00500;no_pca;003;0.61;
00500;pca;003;0.50;
00500;no_pca;005;0.83;
00500;pca;005;0.50;
00500;no_pca;007;0.90;
00500;pca;007;0.57;
00500;no_pca;009;0.94;
00500;pca;009;0.76;
00500;no_pca;011;0.98;
00500;pca;011;0.90;
00500;no_pca;013;1.00;
00500;pca;013;0.96;
00700;no_pca;003;0.59;
00700;pca;003;0.50;
00700;no_pca;005;0.84;
00700;pca;005;0.50;
00700;no_pca;007;0.91;
00700;pca;007;0.56;
00700;no_pca;009;0.94;
00700;pca;009;0.75;
00700;no_pca;011;0.98;
00700;pca;011;0.89;
00700;no_pca;013;1.00;
00700;pca;013;0.96;
01000;no_pca;003;0.60;
01000;pca;003;0.50;
01000;no_pca;005;0.84;
01000;pca;005;0.50;
01000;no_pca;007;0.91;
01000;pca;007;0.57;
01000;no_pca;009;0.94;
01000;pca;009;0.76;
01000;no_pca;011;0.98;
01000;pca;011;0.89;
01000;no_pca;013;1.00;
01000;pca;013;0.96;
