num trees;pca;max depth;f1 macro avg
00050;no_pca;003;0.22;
00050;pca;003;0.13;
00050;no_pca;005;0.35;
00050;pca;005;0.17;
00050;no_pca;007;0.48;
00050;pca;007;0.28;
00050;no_pca;009;0.61;
00050;pca;009;0.38;
00050;no_pca;011;0.78;
00050;pca;011;0.52;
00050;no_pca;013;0.92;
00050;pca;013;0.66;
00100;no_pca;003;0.23;
00100;pca;003;0.13;
00100;no_pca;005;0.33;
00100;pca;005;0.23;
00100;no_pca;007;0.47;
00100;pca;007;0.31;
00100;no_pca;009;0.63;
00100;pca;009;0.39;
00100;no_pca;011;0.77;
00100;pca;011;0.50;
00100;no_pca;013;0.92;
00100;pca;013;0.70;
00200;no_pca;003;0.22;
00200;pca;003;0.14;
00200;no_pca;005;0.35;
00200;pca;005;0.20;
00200;no_pca;007;0.47;
00200;pca;007;0.29;
00200;no_pca;009;0.63;
00200;pca;009;0.39;
00200;no_pca;011;0.77;
00200;pca;011;0.52;
00200;no_pca;013;0.92;
00200;pca;013;0.69;
00300;no_pca;003;0.22;
00300;pca;003;0.14;
00300;no_pca;005;0.35;
00300;pca;005;0.20;
00300;no_pca;007;0.47;
00300;pca;007;0.30;
00300;no_pca;009;0.62;
00300;pca;009;0.39;
00300;no_pca;011;0.78;
00300;pca;011;0.51;
00300;no_pca;013;0.92;
00300;pca;013;0.69;
00500;no_pca;003;0.22;
00500;pca;003;0.15;
00500;no_pca;005;0.35;
00500;pca;005;0.21;
00500;no_pca;007;0.47;
00500;pca;007;0.30;
00500;no_pca;009;0.63;
00500;pca;009;0.39;
00500;no_pca;011;0.78;
00500;pca;011;0.51;
00500;no_pca;013;0.92;
00500;pca;013;0.69;
00700;no_pca;003;0.23;
00700;pca;003;0.13;
00700;no_pca;005;0.35;
00700;pca;005;0.20;
00700;no_pca;007;0.47;
00700;pca;007;0.30;
00700;no_pca;009;0.63;
00700;pca;009;0.39;
00700;no_pca;011;0.78;
00700;pca;011;0.51;
00700;no_pca;013;0.92;
00700;pca;013;0.69;
01000;no_pca;003;0.23;
01000;pca;003;0.15;
01000;no_pca;005;0.34;
01000;pca;005;0.21;
01000;no_pca;007;0.48;
01000;pca;007;0.30;
01000;no_pca;009;0.62;
01000;pca;009;0.39;
01000;no_pca;011;0.78;
01000;pca;011;0.51;
01000;no_pca;013;0.91;
01000;pca;013;0.69;
