num_trees;pca;macro avg
00050;no_pca;0.81;
00050;pca;0.79;
00100;no_pca;0.82;
00100;pca;0.78;
00200;no_pca;0.82;
00200;pca;0.78;
00300;no_pca;0.81;
00300;pca;0.78;
00500;no_pca;0.81;
00500;pca;0.78;
00700;no_pca;0.81;
00700;pca;0.78;
01000;no_pca;0.82;
01000;pca;0.78;
