num trees;pca;max depth;f1 macro avg
00050;no_pca;003;0.18;
00050;pca;003;0.08;
00050;no_pca;005;0.32;
00050;pca;005;0.24;
00050;no_pca;007;0.39;
00050;pca;007;0.30;
00050;no_pca;009;0.49;
00050;pca;009;0.38;
00050;no_pca;011;0.64;
00050;pca;011;0.48;
00050;no_pca;013;0.84;
00050;pca;013;0.60;
00100;no_pca;003;0.18;
00100;pca;003;0.10;
00100;no_pca;005;0.33;
00100;pca;005;0.25;
00100;no_pca;007;0.39;
00100;pca;007;0.32;
00100;no_pca;009;0.49;
00100;pca;009;0.38;
00100;no_pca;011;0.65;
00100;pca;011;0.48;
00100;no_pca;013;0.85;
00100;pca;013;0.61;
00200;no_pca;003;0.18;
00200;pca;003;0.08;
00200;no_pca;005;0.33;
00200;pca;005;0.25;
00200;no_pca;007;0.40;
00200;pca;007;0.31;
00200;no_pca;009;0.49;
00200;pca;009;0.38;
00200;no_pca;011;0.66;
00200;pca;011;0.47;
00200;no_pca;013;0.85;
00200;pca;013;0.62;
00300;no_pca;003;0.17;
00300;pca;003;0.08;
00300;no_pca;005;0.33;
00300;pca;005;0.24;
00300;no_pca;007;0.40;
00300;pca;007;0.31;
00300;no_pca;009;0.49;
00300;pca;009;0.38;
00300;no_pca;011;0.65;
00300;pca;011;0.47;
00300;no_pca;013;0.85;
00300;pca;013;0.61;
00500;no_pca;003;0.18;
00500;pca;003;0.08;
00500;no_pca;005;0.33;
00500;pca;005;0.24;
00500;no_pca;007;0.40;
00500;pca;007;0.31;
00500;no_pca;009;0.49;
00500;pca;009;0.38;
00500;no_pca;011;0.66;
00500;pca;011;0.48;
00500;no_pca;013;0.85;
00500;pca;013;0.62;
00700;no_pca;003;0.18;
00700;pca;003;0.08;
00700;no_pca;005;0.33;
00700;pca;005;0.24;
00700;no_pca;007;0.40;
00700;pca;007;0.31;
00700;no_pca;009;0.49;
00700;pca;009;0.38;
00700;no_pca;011;0.65;
00700;pca;011;0.48;
00700;no_pca;013;0.85;
00700;pca;013;0.62;
01000;no_pca;003;0.18;
01000;pca;003;0.08;
01000;no_pca;005;0.33;
01000;pca;005;0.25;
01000;no_pca;007;0.40;
01000;pca;007;0.31;
01000;no_pca;009;0.49;
01000;pca;009;0.38;
01000;no_pca;011;0.65;
01000;pca;011;0.48;
01000;no_pca;013;0.85;
01000;pca;013;0.61;
