num trees;pca;max_depth;f1 macro avg
00020;no_pca;005;0.38;
00020;pca;005;0.29;
00020;no_pca;007;0.56;
00020;pca;007;0.68;
00020;no_pca;009;0.96;
00020;pca;009;0.99;
00020;no_pca;011;1.00;
00020;pca;011;1.00;
00030;no_pca;005;0.43;
00030;pca;005;0.31;
00030;no_pca;007;0.75;
00030;pca;007;0.84;
00030;no_pca;009;1.00;
00030;pca;009;1.00;
00030;no_pca;011;1.00;
00030;pca;011;1.00;
00050;no_pca;005;0.60;
00050;pca;005;0.34;
00050;no_pca;007;0.94;
00050;pca;007;0.92;
00050;no_pca;009;1.00;
00050;pca;009;1.00;
00050;no_pca;011;1.00;
00050;pca;011;1.00;
