num classes;codebook size;pca;band width;f1 macro avg;running time
02;0000;0050;0.100;1.00;17.737
10;0000;0050;0.100;1.00;35.671
02;0000;0050;0.200;1.00;17.400
10;0000;0050;0.200;1.00;36.235
02;0000;0050;0.500;0.97;14.738
10;0000;0050;0.500;1.00;32.740
02;0000;0050;1.000;0.49;14.542
10;0000;0050;1.000;0.54;32.737
02;0000;0050;2.000;0.44;14.488
10;0000;0050;2.000;0.26;32.807
02;0000;no_pca;0.100;1.00;63.566
10;0000;no_pca;0.100;1.00;65.706
02;0000;no_pca;0.200;1.00;80.832
10;0000;no_pca;0.200;1.00;88.491
02;0000;no_pca;0.500;1.00;78.195
10;0000;no_pca;0.500;1.00;94.075
02;0000;no_pca;1.000;0.50;79.701
10;0000;no_pca;1.000;0.72;96.201
02;0000;no_pca;2.000;0.45;87.938
10;0000;no_pca;2.000;0.27;109.111
02;0100;0050;0.100;0.78;3.768
10;0100;0050;0.100;0.67;20.228
02;0100;0050;0.200;0.76;3.654
10;0100;0050;0.200;0.67;20.205
02;0100;0050;0.500;0.64;3.616
10;0100;0050;0.500;0.64;19.936
02;0100;0050;1.000;0.51;3.662
10;0100;0050;1.000;0.49;19.858
02;0100;0050;2.000;0.47;3.606
10;0100;0050;2.000;0.26;19.920
02;0100;no_pca;0.100;0.86;3.617
10;0100;no_pca;0.100;0.71;13.802
02;0100;no_pca;0.200;0.82;3.047
10;0100;no_pca;0.200;0.71;13.280
02;0100;no_pca;0.500;0.81;3.147
10;0100;no_pca;0.500;0.71;12.454
02;0100;no_pca;1.000;0.60;2.848
10;0100;no_pca;1.000;0.57;11.898
02;0100;no_pca;2.000;0.49;3.247
10;0100;no_pca;2.000;0.27;11.894
02;0200;0050;0.100;0.82;3.843
10;0200;0050;0.100;0.78;21.716
02;0200;0050;0.200;0.82;3.900
10;0200;0050;0.200;0.78;21.751
02;0200;0050;0.500;0.69;3.758
10;0200;0050;0.500;0.74;21.274
02;0200;0050;1.000;0.51;3.760
10;0200;0050;1.000;0.52;21.396
02;0200;0050;2.000;0.47;3.970
10;0200;0050;2.000;0.26;21.040
02;0200;no_pca;0.100;0.90;3.458
10;0200;no_pca;0.100;0.83;14.506
02;0200;no_pca;0.200;0.90;3.410
10;0200;no_pca;0.200;0.83;14.075
02;0200;no_pca;0.500;0.86;3.368
10;0200;no_pca;0.500;0.83;13.946
02;0200;no_pca;1.000;0.59;3.263
10;0200;no_pca;1.000;0.63;14.600
02;0200;no_pca;2.000;0.49;3.710
10;0200;no_pca;2.000;0.28;14.875
02;0300;0050;0.100;0.86;3.923
10;0300;0050;0.100;0.84;22.668
02;0300;0050;0.200;0.85;3.951
10;0300;0050;0.200;0.84;25.275
02;0300;0050;0.500;0.72;3.916
10;0300;0050;0.500;0.81;24.232
02;0300;0050;1.000;0.51;3.818
10;0300;0050;1.000;0.55;21.949
02;0300;0050;2.000;0.47;4.142
10;0300;0050;2.000;0.25;21.999
02;0300;no_pca;0.100;0.90;3.442
10;0300;no_pca;0.100;0.89;15.010
02;0300;no_pca;0.200;0.90;3.331
10;0300;no_pca;0.200;0.89;17.363
02;0300;no_pca;0.500;0.86;3.863
10;0300;no_pca;0.500;0.89;17.234
02;0300;no_pca;1.000;0.57;3.647
10;0300;no_pca;1.000;0.67;16.167
02;0300;no_pca;2.000;0.48;3.514
10;0300;no_pca;2.000;0.25;15.802
