num classes;codebook size;pca;K;macro avg;running time
02;0000;0050;003;0.79;85.307
10;0000;0050;003;0.72;45.879
02;0000;0050;005;0.60;88.249
10;0000;0050;005;0.64;41.416
02;0000;0050;007;0.50;89.922
10;0000;0050;007;0.61;44.088
02;0000;0050;009;0.50;91.675
10;0000;0050;009;0.57;44.557
02;0000;0050;011;0.50;92.593
10;0000;0050;011;0.55;42.356
02;0000;0050;013;0.50;92.390
10;0000;0050;013;0.56;44.183
02;0000;no_pca;003;0.79;24.356
10;0000;no_pca;003;0.75;28.402
02;0000;no_pca;005;0.61;28.539
10;0000;no_pca;005;0.70;27.776
02;0000;no_pca;007;0.50;26.595
10;0000;no_pca;007;0.62;28.443
02;0000;no_pca;009;0.50;26.723
10;0000;no_pca;009;0.58;27.569
02;0000;no_pca;011;0.50;25.488
10;0000;no_pca;011;0.56;28.476
02;0000;no_pca;013;0.50;27.065
10;0000;no_pca;013;0.55;28.951
02;0100;0050;003;0.64;11.500
10;0100;0050;003;0.52;17.408
02;0100;0050;005;0.73;12.083
10;0100;0050;005;0.48;17.709
02;0100;0050;007;0.62;12.251
10;0100;0050;007;0.49;19.038
02;0100;0050;009;0.68;12.505
10;0100;0050;009;0.46;22.465
02;0100;0050;011;0.58;13.015
10;0100;0050;011;0.44;19.070
02;0100;0050;013;0.65;12.691
10;0100;0050;013;0.44;20.098
02;0100;no_pca;003;0.81;1.497
10;0100;no_pca;003;0.53;5.569
02;0100;no_pca;005;0.85;1.886
10;0100;no_pca;005;0.50;5.797
02;0100;no_pca;007;0.58;1.522
10;0100;no_pca;007;0.47;6.953
02;0100;no_pca;009;0.63;1.667
10;0100;no_pca;009;0.42;6.798
02;0100;no_pca;011;0.73;1.647
10;0100;no_pca;011;0.42;7.090
02;0100;no_pca;013;0.83;1.623
10;0100;no_pca;013;0.44;6.839
02;0200;0050;003;0.89;14.049
10;0200;0050;003;0.58;21.055
02;0200;0050;005;0.71;14.722
10;0200;0050;005;0.53;24.545
02;0200;0050;007;0.58;14.908
10;0200;0050;007;0.51;22.863
02;0200;0050;009;0.60;16.052
10;0200;0050;009;0.48;26.085
02;0200;0050;011;0.60;15.857
10;0200;0050;011;0.45;30.758
02;0200;0050;013;0.59;14.921
10;0200;0050;013;0.42;25.075
02;0200;no_pca;003;0.92;1.737
10;0200;no_pca;003;0.55;8.868
02;0200;no_pca;005;0.67;1.870
10;0200;no_pca;005;0.49;8.471
02;0200;no_pca;007;0.50;1.916
10;0200;no_pca;007;0.47;8.723
02;0200;no_pca;009;0.59;2.231
10;0200;no_pca;009;0.46;7.560
02;0200;no_pca;011;0.60;2.071
10;0200;no_pca;011;0.45;8.293
02;0200;no_pca;013;0.60;1.814
10;0200;no_pca;013;0.44;8.340
02;0300;0050;003;0.85;14.959
10;0300;0050;003;0.60;27.582
02;0300;0050;005;0.65;16.107
10;0300;0050;005;0.56;27.770
02;0300;0050;007;0.59;16.957
10;0300;0050;007;0.52;28.924
02;0300;0050;009;0.60;17.372
10;0300;0050;009;0.50;28.241
02;0300;0050;011;0.60;17.655
10;0300;0050;011;0.46;27.521
02;0300;0050;013;0.61;18.252
10;0300;0050;013;0.47;31.851
02;0300;no_pca;003;0.85;2.165
10;0300;no_pca;003;0.60;10.092
02;0300;no_pca;005;0.73;2.125
10;0300;no_pca;005;0.56;10.411
02;0300;no_pca;007;0.67;1.861
10;0300;no_pca;007;0.50;9.758
02;0300;no_pca;009;0.75;2.328
10;0300;no_pca;009;0.47;10.139
02;0300;no_pca;011;0.61;2.634
10;0300;no_pca;011;0.47;8.931
02;0300;no_pca;013;0.61;2.328
10;0300;no_pca;013;0.46;10.168
