num classes;codebook size;pca;band width;macro avg;running time
02;0000;0050;0.100;1.00;23.210
09;0000;0050;0.100;0.00;38.697
02;0000;0050;0.200;1.00;19.912
09;0000;0050;0.200;0.00;35.882
02;0000;0050;0.500;0.97;18.832
09;0000;0050;0.500;0.00;33.858
02;0000;0050;1.000;0.70;18.230
09;0000;0050;1.000;0.08;33.617
02;0000;0050;2.000;0.64;18.187
09;0000;0050;2.000;0.09;33.581
02;0000;no_pca;0.100;1.00;88.474
09;0000;no_pca;0.100;0.00;94.232
02;0000;no_pca;0.200;1.00;129.593
09;0000;no_pca;0.200;0.00;123.371
02;0000;no_pca;0.500;1.00;147.784
09;0000;no_pca;0.500;0.00;101.724
02;0000;no_pca;1.000;0.76;100.743
09;0000;no_pca;1.000;0.05;175.367
02;0000;no_pca;2.000;0.67;134.770
09;0000;no_pca;2.000;0.10;92.191
02;0100;0050;0.100;0.76;5.134
09;0100;0050;0.100;0.07;18.804
02;0100;0050;0.200;0.75;4.703
09;0100;0050;0.200;0.07;18.710
02;0100;0050;0.500;0.76;4.556
09;0100;0050;0.500;0.07;18.356
02;0100;0050;1.000;0.72;4.554
09;0100;0050;1.000;0.09;18.355
02;0100;0050;2.000;0.46;4.969
09;0100;0050;2.000;0.10;18.263
02;0100;no_pca;0.100;0.82;5.277
09;0100;no_pca;0.100;0.07;16.870
02;0100;no_pca;0.200;0.81;4.320
09;0100;no_pca;0.200;0.07;15.978
02;0100;no_pca;0.500;0.82;4.292
09;0100;no_pca;0.500;0.07;15.791
02;0100;no_pca;1.000;0.82;4.186
09;0100;no_pca;1.000;0.09;15.474
02;0100;no_pca;2.000;0.48;5.283
09;0100;no_pca;2.000;0.11;15.601
02;0200;0050;0.100;0.83;5.118
09;0200;0050;0.100;0.05;20.500
02;0200;0050;0.200;0.82;5.025
09;0200;0050;0.200;0.05;20.369
02;0200;0050;0.500;0.82;4.901
09;0200;0050;0.500;0.06;19.869
02;0200;0050;1.000;0.64;4.894
09;0200;0050;1.000;0.09;20.122
02;0200;0050;2.000;0.37;4.984
09;0200;0050;2.000;0.08;19.743
02;0200;no_pca;0.100;0.93;5.787
09;0200;no_pca;0.100;0.05;17.414
02;0200;no_pca;0.200;0.93;5.664
09;0200;no_pca;0.200;0.05;19.325
02;0200;no_pca;0.500;0.94;5.055
09;0200;no_pca;0.500;0.05;16.619
02;0200;no_pca;1.000;0.86;4.965
09;0200;no_pca;1.000;0.08;17.878
02;0200;no_pca;2.000;0.39;4.436
09;0200;no_pca;2.000;0.08;18.455
02;0300;0050;0.100;0.86;5.343
09;0300;0050;0.100;0.05;21.277
02;0300;0050;0.200;0.86;5.199
09;0300;0050;0.200;0.05;21.723
02;0300;0050;0.500;0.85;5.148
09;0300;0050;0.500;0.06;20.770
02;0300;0050;1.000;0.57;5.108
09;0300;0050;1.000;0.11;20.532
02;0300;0050;2.000;0.32;5.055
09;0300;0050;2.000;0.08;20.489
02;0300;no_pca;0.100;0.98;5.655
09;0300;no_pca;0.100;0.03;22.708
02;0300;no_pca;0.200;0.98;5.717
09;0300;no_pca;0.200;0.03;21.292
02;0300;no_pca;0.500;0.98;5.144
09;0300;no_pca;0.500;0.04;20.263
02;0300;no_pca;1.000;0.84;5.684
09;0300;no_pca;1.000;0.09;21.590
02;0300;no_pca;2.000;0.35;4.998
09;0300;no_pca;2.000;0.09;20.931
