num trees;pca;max depth;f1 macro avg
00050;no_pca;003;0.21;
00050;pca;003;0.08;
00050;no_pca;005;0.28;
00050;pca;005;0.12;
00050;no_pca;007;0.34;
00050;pca;007;0.18;
00050;no_pca;009;0.49;
00050;pca;009;0.25;
00050;no_pca;011;0.68;
00050;pca;011;0.44;
00050;no_pca;013;0.90;
00050;pca;013;0.68;
00100;no_pca;003;0.21;
00100;pca;003;0.08;
00100;no_pca;005;0.28;
00100;pca;005;0.14;
00100;no_pca;007;0.35;
00100;pca;007;0.17;
00100;no_pca;009;0.47;
00100;pca;009;0.27;
00100;no_pca;011;0.69;
00100;pca;011;0.45;
00100;no_pca;013;0.92;
00100;pca;013;0.69;
00200;no_pca;003;0.21;
00200;pca;003;0.08;
00200;no_pca;005;0.28;
00200;pca;005;0.14;
00200;no_pca;007;0.34;
00200;pca;007;0.17;
00200;no_pca;009;0.46;
00200;pca;009;0.26;
00200;no_pca;011;0.69;
00200;pca;011;0.45;
00200;no_pca;013;0.91;
00200;pca;013;0.69;
00300;no_pca;003;0.21;
00300;pca;003;0.08;
00300;no_pca;005;0.28;
00300;pca;005;0.14;
00300;no_pca;007;0.35;
00300;pca;007;0.17;
00300;no_pca;009;0.46;
00300;pca;009;0.27;
00300;no_pca;011;0.69;
00300;pca;011;0.44;
00300;no_pca;013;0.91;
00300;pca;013;0.68;
00500;no_pca;003;0.21;
00500;pca;003;0.08;
00500;no_pca;005;0.28;
00500;pca;005;0.15;
00500;no_pca;007;0.35;
00500;pca;007;0.17;
00500;no_pca;009;0.46;
00500;pca;009;0.26;
00500;no_pca;011;0.69;
00500;pca;011;0.44;
00500;no_pca;013;0.92;
00500;pca;013;0.69;
00700;no_pca;003;0.21;
00700;pca;003;0.08;
00700;no_pca;005;0.28;
00700;pca;005;0.14;
00700;no_pca;007;0.35;
00700;pca;007;0.17;
00700;no_pca;009;0.46;
00700;pca;009;0.27;
00700;no_pca;011;0.69;
00700;pca;011;0.43;
00700;no_pca;013;0.92;
00700;pca;013;0.69;
01000;no_pca;003;0.21;
01000;pca;003;0.08;
01000;no_pca;005;0.28;
01000;pca;005;0.15;
01000;no_pca;007;0.35;
01000;pca;007;0.17;
01000;no_pca;009;0.47;
01000;pca;009;0.27;
01000;no_pca;011;0.69;
01000;pca;011;0.43;
01000;no_pca;013;0.92;
01000;pca;013;0.68;
