num_trees;pca;max_depth;macro avg
00050;no_pca;003;0.50;
00050;pca;003;0.50;
00050;no_pca;005;0.66;
00050;pca;005;0.50;
00050;no_pca;007;0.80;
00050;pca;007;0.51;
00050;no_pca;009;0.88;
00050;pca;009;0.66;
00050;no_pca;011;0.96;
00050;pca;011;0.80;
00050;no_pca;013;0.98;
00050;pca;013;0.89;
00100;no_pca;003;0.50;
00100;pca;003;0.50;
00100;no_pca;005;0.69;
00100;pca;005;0.50;
00100;no_pca;007;0.81;
00100;pca;007;0.51;
00100;no_pca;009;0.89;
00100;pca;009;0.64;
00100;no_pca;011;0.95;
00100;pca;011;0.80;
00100;no_pca;013;0.99;
00100;pca;013;0.87;
00200;no_pca;003;0.50;
00200;pca;003;0.50;
00200;no_pca;005;0.69;
00200;pca;005;0.50;
00200;no_pca;007;0.81;
00200;pca;007;0.50;
00200;no_pca;009;0.89;
00200;pca;009;0.65;
00200;no_pca;011;0.95;
00200;pca;011;0.81;
00200;no_pca;013;0.99;
00200;pca;013;0.89;
00300;no_pca;003;0.50;
00300;pca;003;0.50;
00300;no_pca;005;0.70;
00300;pca;005;0.50;
00300;no_pca;007;0.81;
00300;pca;007;0.50;
00300;no_pca;009;0.88;
00300;pca;009;0.66;
00300;no_pca;011;0.95;
00300;pca;011;0.79;
00300;no_pca;013;0.99;
00300;pca;013;0.90;
00500;no_pca;003;0.50;
00500;pca;003;0.50;
00500;no_pca;005;0.68;
00500;pca;005;0.50;
00500;no_pca;007;0.81;
00500;pca;007;0.50;
00500;no_pca;009;0.88;
00500;pca;009;0.65;
00500;no_pca;011;0.95;
00500;pca;011;0.79;
00500;no_pca;013;0.99;
00500;pca;013;0.90;
00700;no_pca;003;0.50;
00700;pca;003;0.50;
00700;no_pca;005;0.70;
00700;pca;005;0.50;
00700;no_pca;007;0.80;
00700;pca;007;0.50;
00700;no_pca;009;0.89;
00700;pca;009;0.65;
00700;no_pca;011;0.95;
00700;pca;011;0.79;
00700;no_pca;013;0.99;
00700;pca;013;0.89;
01000;no_pca;003;0.50;
01000;pca;003;0.50;
01000;no_pca;005;0.67;
01000;pca;005;0.50;
01000;no_pca;007;0.80;
01000;pca;007;0.50;
01000;no_pca;009;0.89;
01000;pca;009;0.66;
01000;no_pca;011;0.95;
01000;pca;011;0.79;
01000;no_pca;013;0.99;
01000;pca;013;0.88;
