num trees;pca;max depth;f1 macro avg
00050;no_pca;003;0.12;
00050;pca;003;0.05;
00050;no_pca;005;0.18;
00050;pca;005;0.06;
00050;no_pca;007;0.28;
00050;pca;007;0.16;
00050;no_pca;009;0.40;
00050;pca;009;0.24;
00050;no_pca;011;0.55;
00050;pca;011;0.40;
00050;no_pca;013;0.72;
00050;pca;013;0.58;
00100;no_pca;003;0.12;
00100;pca;003;0.05;
00100;no_pca;005;0.19;
00100;pca;005;0.06;
00100;no_pca;007;0.30;
00100;pca;007;0.13;
00100;no_pca;009;0.41;
00100;pca;009;0.25;
00100;no_pca;011;0.56;
00100;pca;011;0.40;
00100;no_pca;013;0.74;
00100;pca;013;0.58;
00200;no_pca;003;0.12;
00200;pca;003;0.04;
00200;no_pca;005;0.18;
00200;pca;005;0.06;
00200;no_pca;007;0.29;
00200;pca;007;0.14;
00200;no_pca;009;0.40;
00200;pca;009;0.25;
00200;no_pca;011;0.56;
00200;pca;011;0.39;
00200;no_pca;013;0.73;
00200;pca;013;0.59;
00300;no_pca;003;0.12;
00300;pca;003;0.05;
00300;no_pca;005;0.19;
00300;pca;005;0.06;
00300;no_pca;007;0.29;
00300;pca;007;0.12;
00300;no_pca;009;0.40;
00300;pca;009;0.25;
00300;no_pca;011;0.56;
00300;pca;011;0.39;
00300;no_pca;013;0.73;
00300;pca;013;0.58;
00500;no_pca;003;0.12;
00500;pca;003;0.04;
00500;no_pca;005;0.18;
00500;pca;005;0.06;
00500;no_pca;007;0.29;
00500;pca;007;0.13;
00500;no_pca;009;0.40;
00500;pca;009;0.25;
00500;no_pca;011;0.56;
00500;pca;011;0.39;
00500;no_pca;013;0.73;
00500;pca;013;0.58;
00700;no_pca;003;0.12;
00700;pca;003;0.05;
00700;no_pca;005;0.19;
00700;pca;005;0.06;
00700;no_pca;007;0.29;
00700;pca;007;0.13;
00700;no_pca;009;0.40;
00700;pca;009;0.26;
00700;no_pca;011;0.56;
00700;pca;011;0.39;
00700;no_pca;013;0.73;
00700;pca;013;0.59;
01000;no_pca;003;0.12;
01000;pca;003;0.05;
01000;no_pca;005;0.18;
01000;pca;005;0.06;
01000;no_pca;007;0.29;
01000;pca;007;0.13;
01000;no_pca;009;0.40;
01000;pca;009;0.25;
01000;no_pca;011;0.56;
01000;pca;011;0.39;
01000;no_pca;013;0.73;
01000;pca;013;0.59;
