num_trees;pca;macro avg
00050;no_pca;0.18;
00050;pca;0.13;
00100;no_pca;0.20;
00100;pca;0.13;
00200;no_pca;0.19;
00200;pca;0.13;
00300;no_pca;0.19;
00300;pca;0.13;
00500;no_pca;0.20;
00500;pca;0.13;
00700;no_pca;0.20;
00700;pca;0.13;
01000;no_pca;0.20;
01000;pca;0.13;
