num trees;pca;f1 macro avg
00050;no_pca;0.45;
00050;pca;0.31;
00100;no_pca;0.44;
00100;pca;0.30;
00200;no_pca;0.44;
00200;pca;0.31;
00300;no_pca;0.44;
00300;pca;0.31;
00500;no_pca;0.44;
00500;pca;0.32;
00700;no_pca;0.44;
00700;pca;0.32;
01000;no_pca;0.44;
01000;pca;0.32;
