num_trees;pca;macro avg
00050;no_pca;0.91;
00050;pca;0.81;
00100;no_pca;0.91;
00100;pca;0.81;
00200;no_pca;0.91;
00200;pca;0.81;
00300;no_pca;0.91;
00300;pca;0.81;
00500;no_pca;0.91;
00500;pca;0.81;
00700;no_pca;0.91;
00700;pca;0.81;
01000;no_pca;0.91;
01000;pca;0.81;
